PC_1,PC_2
-9835.272489526027,-22901.33156484475
-9779.802750153238,-23570.130605563074
-9857.72894816861,-22506.56662835278
-9851.311607800064,-23131.829624809925
-9834.850415971498,-23430.202673490618
-9856.965225177924,-23183.319486861674
-9716.850865299166,-22625.952968551734
-9301.490002825874,-23396.000638761594
-9852.97166401642,-23250.41746829557
-9840.351961766166,-22262.705646663508
-9618.80002795956,-6071.436012095927
-9586.456080587486,-23354.382131262366
-9857.235785690911,-23042.364111718136
-9837.174721959142,-23303.851746166405
-9642.993298497478,-22242.45631629544
-9773.342856097519,-23070.242954526737
-9834.00189091676,-23173.877941353563
-9815.415399257461,-22963.320927346867
-9622.898073880931,-23685.07081290334
-9773.404958281955,-23572.98102477027
-9856.864638885354,-22984.105056687604
-9325.689277985015,-16020.661258816317
-9859.524268074267,-19789.926005879723
-9728.664512576246,-22785.427921256447
-9489.789322228868,-16770.454072768778
-9506.24180501441,-22240.365967751128
-9283.014688394365,-7278.478775704567
-9354.728105598988,-22903.961101281115
-9905.712522884069,-406.03932932204697
-9970.795298913676,35190.68521207924
-9362.886908504131,-22536.968494330315
-9629.575965795857,-22965.786935936118
-9886.861004056287,-8272.890352124643
-9838.691144470382,-22791.95021614686
-9806.235143821703,-22826.426097264124
-9836.362901564551,-22430.308626977763
-9651.920294055153,-23510.602346497322
-9620.701328649093,-23238.772206885846
-9807.245951044652,-10442.096450925577
-9595.231873560413,-22695.34699877906
-9828.63891031319,-22922.918831264407
-9892.433766995846,16356.574516089006
-9097.084429363458,-22460.543723797025
-9859.738817804886,-2983.9592857417424
-9467.31339298597,-23662.244725310884
-7690.793782649818,-23771.770150437165
-9683.63734719617,-23628.64631969896
-9775.16532635963,-21846.037693221624
-9484.71689421813,-12546.024788438417
-9489.572386907306,-22898.108954948504
-9594.832958604746,-22396.85153105531
-9762.154227124243,-23325.145714228638
-9803.841813240659,-23139.65344794744
-9823.853993482444,-22216.848895111983
-9846.183533730451,-22926.662602253607
-9856.928175578036,-21702.304614166507
-9632.465901297955,-12782.157159081302
-9826.437754156996,-22948.342514102238
-9751.464018497587,-22942.258278228543
-7653.799170021123,-23718.911734600933
-9630.31633225743,-23638.634194644023
-9757.457680791455,-22040.203513430228
-9528.83487769832,-23488.61816976099
-9752.406242354262,-23505.201730200406
-9070.680946278526,-23760.318976473587
-9849.941718037668,-20914.837713653043
-9839.999496012022,-23112.02541118312
-6413.474171896416,-23734.71923385217
22968.741647014325,-21858.386137697227
-9749.842122071477,-5395.393517586606
-9743.419311217796,-19423.294170142937
18058.97372887458,-23188.43387496733
-4746.575098923423,-23176.971847615117
-7963.565872072113,-23333.31152577137
-9014.281846440885,-23820.58295462021
107.11820990254049,-23473.395488480903
-5628.68685273124,-23676.548991150717
-5971.10344259291,-23677.085061051548
-9318.502523619252,-23294.92178902972
10226.689585217748,-23693.76126697062
-8070.702080953484,-23812.952342113855
-9796.234086053117,-23791.794546263824
-9834.582884465959,6284.063082559563
-7190.308817380828,-23553.951618140127
-9321.988720258089,-19535.046560004113
-4543.9190361481515,-23878.125955494535
-9811.549178228728,-23740.527342735524
-7539.827446445401,-23862.66965239994
-9838.833778399634,2964.7131503175447
-9586.925717532517,-23542.399440410245
-8923.769855027134,-21810.453003601222
6377.905438876823,-23737.955014838262
-5771.645321722389,-23702.50743759807
-9675.494611452054,-23665.258237697166
-9761.477459617965,-23536.740022618018
-9709.934778790537,-22507.017356072167
-9614.897448725653,-5954.107853270174
-8918.004234071217,-8629.24609582524
-9742.584240836664,12412.156804635724
-9895.617888771696,-5088.587631243309
-4343.219272264015,-21143.232130431323
151778.4150464784,-22246.395643241314
-9390.14451275269,-23066.053789525005
-9835.400092082109,-19777.113007541797
-9774.051299194507,-23367.36359817691
-9570.516524909968,-23688.948729682244
-9846.180800121852,-23428.556637905374
-9797.59835259794,-23521.89341920711
-9846.773136556945,-23433.62826042703
-9708.952204656418,-23665.75146157361
-9718.64905878105,-19090.906190653655
-8845.434521503077,-22017.23207250398
-9359.796719163996,-21389.60410555999
4833.198427286833,-21887.014655040563
-9832.67246622949,-21041.481186302466
-9770.322873466792,-23419.483889010346
-8956.754880872417,-23755.992042024063
-9819.869417582404,-22666.702312390553
-227.6679101638679,-23873.147949526083
-9859.499246626174,-21004.08393893148
-9404.33092647962,-23753.038576903527
-8723.008346702214,-23784.60510148041
-9723.223361912023,-23879.05680388684
-9867.0850534219,-18563.373397870513
-9841.60978807583,-22518.046171748574
-9850.480273012352,-23097.427374404724
-9782.117932565614,-23188.409152020413
-9506.388477286784,-23735.3094819442
-9845.070607573047,-23173.075674229305
-7027.272522613709,-22784.234386374417
-8702.250455898069,-16163.319876028241
-9854.897668340962,-23403.084340043857
-7567.761389295364,-23802.58804089839
-9575.884655639531,-23650.884104201068
-8877.393690505969,-23809.19871180191
-9718.379696054471,-23693.126426660405
-9799.574309718715,-23889.0787010683
-10019.886428416668,42947.56832680003
-9924.068621281418,37681.58905704787
-6429.470056891538,-21458.826698191417
-6059.903394710885,-22019.25709095394
-9683.151211388382,-21811.067545860806
